evaluations,WPT,PSO,GA
10483,2544266.4237060207,2461488.099446241,2106550.95870346
10562,2544266.4237060207,2461488.099446241,2106550.95870346
10641,2544266.4237060207,2461488.099446241,2106550.95870346
10720,2544266.4237060207,2461488.099446241,2106550.95870346
10799,2544266.4237060207,2461488.099446241,2106550.95870346
10877,2544266.4237060207,2461488.099446241,2106550.95870346
10956,2544266.4237060207,2461488.099446241,2106550.95870346
11035,2544266.4237060207,2461488.099446241,2106550.95870346
11114,2544266.4237060207,2461488.099446241,2106550.95870346
11193,2544266.4237060207,2461488.099446241,2106550.95870346
11271,2544266.4237060207,2461488.099446241,2106550.95870346
11350,2544266.4237060207,2461488.099446241,2106550.95870346
11429,2544266.4237060207,2461488.099446241,2106550.95870346
11508,2544266.4237060207,2461488.099446241,2106550.95870346
11587,2544266.4237060207,2461488.099446241,2106550.95870346
11666,2544266.4237060207,2461488.099446241,2106550.95870346
11744,2544266.4237060207,2461488.099446241,2106550.95870346
11823,2544266.4237060207,2461488.099446241,2106550.95870346
11902,2544266.4237060207,2461488.099446241,2106550.95870346
11981,2544266.4237060207,2461488.099446241,2106550.95870346
12060,2544266.4237060207,2461488.099446241,2106550.95870346
12139,2544266.4237060207,2461488.099446241,2106550.95870346
12217,2544266.4237060207,2461488.099446241,2106550.95870346
12296,2544266.4237060207,2461488.099446241,2106550.95870346
12375,2544266.4237060207,2461488.099446241,2106550.95870346
12454,2544266.4237060207,2461488.099446241,2106550.95870346
12533,2544266.4237060207,2461488.099446241,2106550.95870346
12612,2544266.4237060207,2461488.099446241,2106550.95870346
12690,2544266.4237060207,2461488.099446241,2106550.95870346
12769,2544266.4237060207,2461488.099446241,2106550.95870346
12848,2544266.4237060207,2461488.099446241,2106550.95870346
12927,2544266.4237060207,2461488.099446241,2106550.95870346
13006,2544266.4237060207,2461488.099446241,2106550.95870346
13084,2544266.4237060207,2461488.099446241,2106550.95870346
13163,2544266.4237060207,2461488.099446241,2106550.95870346
13242,2544266.4237060207,2461488.099446241,2106550.95870346
13321,2544266.4237060207,2461488.099446241,2106550.95870346
13400,2544266.4237060207,2461488.099446241,2106550.95870346
13479,2544266.4237060207,2461488.099446241,2106550.95870346
13557,2544266.4237060207,2461488.099446241,2106550.95870346
13636,2544266.4237060207,2461488.099446241,2106550.95870346
13715,2544266.4237060207,2461488.099446241,2106550.95870346
13794,2544266.4237060207,2461488.099446241,2106550.95870346
13873,2544266.4237060207,2461488.099446241,2106550.95870346
13952,2544266.4237060207,2461488.099446241,2106550.95870346
14030,2544266.4237060207,2461488.099446241,2106550.95870346
14109,2544266.4237060207,2461488.099446241,2106550.95870346
14188,2544266.4237060207,2461488.099446241,2106550.95870346
14267,2544266.4237060207,2461488.099446241,2106550.95870346
14346,2544266.4237060207,2461488.099446241,2106550.95870346
14424,2544266.4237060207,2461488.099446241,2106550.95870346
14503,2544266.4237060207,2461488.099446241,2106550.95870346
14582,2544266.4237060207,2461488.099446241,2106550.95870346
14661,2544266.4237060207,2461488.099446241,2106550.95870346
14740,2544266.4237060207,2461488.099446241,2106550.95870346
14819,2544266.4237060207,2461488.099446241,2106550.95870346
14897,2544266.4237060207,2461488.099446241,2106550.95870346
14976,2544266.4237060207,2461488.099446241,2106550.95870346
15055,2544266.4237060207,2461488.099446241,2106550.95870346
15134,2544266.4237060207,2461488.099446241,2106550.95870346
15213,2544266.4237060207,2461488.099446241,2106550.95870346
15292,2544266.4237060207,2461488.099446241,2106550.95870346
15370,2544266.4237060207,2461488.099446241,2106550.95870346
15449,2544266.4237060207,2461488.099446241,2106550.95870346
15528,2544266.4237060207,2461488.099446241,2106550.95870346
15607,2544266.4237060207,2461488.099446241,2106550.95870346
15686,2544266.4237060207,2461488.099446241,2106550.95870346
15765,2544266.4237060207,2461488.099446241,2106550.95870346
