evaluations,WPT,PSO,GA
690323,6706083.356509377,6693374.907942158,5637155.922656251
694748,6706083.356509377,6693374.907942158,5637155.922656251
699173,6706083.356509377,6693374.907942158,5632802.935055097
703598,6706083.356509377,6693374.907942158,5632472.858984206
708024,6706083.356509377,6693374.907942158,5632426.524991763
712449,6706083.356509377,6693374.907942158,5632426.524991763
716874,6706083.356509377,6693374.907942158,5632206.8008893095
721299,6706083.356509377,6693374.907942158,5632206.8008893095
725724,6706083.356509377,6693374.907942158,5632206.8008893095
730149,6706083.356509377,6693374.907942158,5632206.8008893095
734574,6706083.356509377,6693374.907942158,5632206.8008893095
739000,6706083.356509377,6693374.907942158,5632206.8008893095
743425,6706083.356509377,6693374.907942158,5632206.8008893095
747850,6706083.356509377,6693374.907942158,5632183.746672111
752275,6706083.356509377,6693374.907942158,5632183.746672111
756700,6706083.356509377,6693374.907942158,5632183.746672111
761125,6706083.356509377,6693374.907942158,5632183.746672111
765550,6706083.356509377,6693374.907942158,5632183.746672111
769976,6706083.356509377,6693374.907942158,5632183.746672111
774401,6706083.356509377,6693374.907942158,5632183.746672111
778826,6706083.356509377,6693374.907942158,5632183.746672111
783251,6706083.356509377,6693374.907942158,5632183.746672111
787676,6706083.356509377,6693374.907942158,5632183.746672111
792101,6706083.356509377,6693374.907942158,5632183.746672111
796526,6706083.356509377,6693374.907942158,5632183.746672111
800952,6706083.356509377,6693374.907942158,5632183.746672111
805377,6706083.356509377,6693374.907942158,5632183.746672111
809802,6706083.356509377,6693374.907942158,5632183.746672111
814227,6706083.356509377,6693374.907942158,5632183.746672111
818652,6706083.356509377,6693374.907942158,5632183.746672111
823077,6706083.356509377,6693374.907942158,5632183.746672111
827503,6706083.356509377,6693374.907942158,5632183.746672111
831928,6706083.356509377,6693374.907942158,5632183.746672111
836353,6706083.356509377,6693374.907942158,5632183.746672111
840778,6706083.356509377,6693374.907942158,5632183.746672111
845203,6706083.356509377,6693374.907942158,5632183.746672111
849628,6706083.356509377,6693374.907942158,5632183.746672111
854053,6706083.356509377,6693374.907942158,5632183.746672111
858479,6706083.356509377,6693374.907942158,5632183.746672111
862904,6706083.356509377,6693374.907942158,5632183.746672111
867329,6706083.356509377,6693374.907942158,5632183.746672111
871754,6706083.356509377,6693374.907942158,5632183.746672111
876179,6706083.356509377,6693374.907942158,5632183.746672111
880604,6706083.356509377,6693374.907942158,5632183.746672111
885030,6706083.356509377,6693374.907942158,5632183.746672111
