algorithm,level,instance,run,best_fitness,elapsed_sec,n_evals
WPT,simple,6,0,57765.24493315958,207.817623208,878377
WPT,simple,6,1,57765.24493315958,204.82740120900007,880426
PSO,simple,6,0,57765.24493315958,216.63405466700033,885030
PSO,simple,6,1,57765.24493315958,214.09532783299983,885030
WPT,simple,6,2,57765.24493315958,209.81311199999982,882724
GA,simple,6,0,57765.24493315958,227.43345354199982,826030
PSO,simple,6,2,57765.24493315958,215.15296454200006,885030
GA,simple,6,1,57765.24493315958,229.95962204099988,826030
GA,simple,6,2,57765.24493315958,227.26151291600036,826030
PSO,simple,7,0,80946.62897026695,220.07656104199987,885030
WPT,simple,7,0,80282.64559319172,232.7254142910001,884930
GA,simple,7,0,80282.64559319172,225.38460366699974,826030
WPT,simple,7,1,80282.64559319172,223.48499891600022,884930
PSO,simple,7,2,80282.64559319172,204.52360833300008,885030
PSO,simple,7,1,86970.73083466418,219.9453678330001,885030
GA,simple,7,1,80282.64559319172,223.11611800000037,826030
WPT,simple,7,2,80282.64559319172,222.0966879169996,884930
GA,simple,7,2,80282.64559319172,215.639121833,826030
WPT,simple,8,0,311927.0293405753,252.12107533299968,884930
PSO,simple,8,0,330237.64462842786,245.7706727499999,885030
PSO,simple,8,1,332984.4682662192,228.471402959,885030
GA,simple,8,0,311927.0293405753,255.11585162499978,826030
WPT,simple,8,1,311927.0293405753,252.1177967499998,884930
GA,simple,8,1,311927.0293405753,259.1218932080001,826030
WPT,simple,8,2,311927.0293405753,251.45169424999995,884930
PSO,simple,8,2,315794.72233825567,247.99943483300012,885030
PSO,simple,9,0,275105.502525425,240.0283724589999,885030
GA,simple,8,2,311927.0293405753,257.71942854100007,826030
GA,simple,9,0,236669.43071037138,253.8979896249998,826030
WPT,simple,9,0,237563.37380376217,265.8007783329999,884930
PSO,simple,9,1,270655.51661968126,227.16729658300028,885030
PSO,simple,9,2,262789.98284017725,218.51394466600004,885030
GA,simple,9,1,236669.43071037138,243.48921087500003,826030
WPT,simple,9,1,236669.43071037138,249.68947979200038,884930
WPT,simple,9,2,248314.06698747605,240.51664912500019,884930
GA,simple,9,2,236669.43071037138,210.98484066599985,826030
PSO,intermediate,0,0,2484549.392373957,332.2227487079999,885030
GA,intermediate,0,0,2046765.885620789,327.6504853329998,826030
WPT,intermediate,0,0,2414628.235806648,362.4690640839999,884930
PSO,intermediate,0,1,2482747.455394993,328.231897958,885030
PSO,intermediate,0,2,2376456.0619774214,328.41144154099993,885030
WPT,intermediate,1,0,2565045.7644960782,317.8090178749999,884930
GA,intermediate,1,0,2396603.584989988,282.48879858300006,826030
WPT,intermediate,0,2,2486824.1890462907,363.22751929100014,884930
GA,intermediate,0,2,2046526.092246974,326.9786569580001,826030
PSO,intermediate,1,0,2532794.699676227,308.43280670800004,885030
